Quarter,Region,Quota,Commit_Forecast,Best_Case,Actual_Closed,Day1_Pipeline,Commit_vs_Quota,Actual_vs_Quota
Q1 FY25,AMER - West,21077000.0,20392000.0,24107000.0,22685000.0,59044000.0,-3.2,7.6
Q1 FY25,AMER - East,13380000.0,11728000.0,15850000.0,14212000.0,46474000.0,-12.3,6.2
Q1 FY25,AMER - Central,18376000.0,18295000.0,20814000.0,18604000.0,47237000.0,-0.4,1.2
Q1 FY25,EMEA,9650000.0,8058000.0,9702000.0,10812000.0,40906000.0,-16.5,12.0
Q1 FY25,APAC,13636000.0,11464000.0,16812000.0,12436000.0,54369000.0,-15.9,-8.8
Q1 FY25,LATAM,24285000.0,21632000.0,24686000.0,24542000.0,76036000.0,-10.9,1.1
Q2 FY25,AMER - West,23377000.0,21570000.0,25356000.0,19750000.0,72620000.0,-7.7,-15.5
Q2 FY25,AMER - East,21640000.0,18540000.0,26404000.0,18186000.0,59226000.0,-14.3,-16.0
Q2 FY25,AMER - Central,23474000.0,21461000.0,26770000.0,23770000.0,91542000.0,-8.6,1.3
Q2 FY25,EMEA,12781000.0,12973000.0,13578000.0,10505000.0,56119000.0,1.5,-17.8
Q2 FY25,APAC,23456000.0,19758000.0,23687000.0,25935000.0,80821000.0,-15.8,10.6
Q2 FY25,LATAM,16107000.0,16050000.0,18467000.0,18450000.0,51941000.0,-0.4,14.5
Q3 FY25,AMER - West,15496000.0,14745000.0,17229000.0,12201000.0,53981000.0,-4.8,-21.3
Q3 FY25,AMER - East,19420000.0,17460000.0,21070000.0,15758000.0,62920000.0,-10.1,-18.9
Q3 FY25,AMER - Central,11013000.0,10611000.0,12878000.0,12326000.0,29977000.0,-3.7,11.9
Q3 FY25,EMEA,23895000.0,24872000.0,25073000.0,24245000.0,73709000.0,4.1,1.5
Q3 FY25,APAC,21477000.0,21497000.0,23382000.0,24568000.0,74944000.0,0.1,14.4
Q3 FY25,LATAM,18572000.0,17751000.0,23176000.0,16996000.0,55817000.0,-4.4,-8.5
Q4 FY25,AMER - West,16728000.0,17495000.0,20510000.0,13193000.0,52478000.0,4.6,-21.1
Q4 FY25,AMER - East,10837000.0,10505000.0,12735000.0,9508000.0,48683000.0,-3.1,-12.3
Q4 FY25,AMER - Central,13738000.0,12127000.0,17156000.0,14054000.0,52463000.0,-11.7,2.3
Q4 FY25,EMEA,13660000.0,11300000.0,16638000.0,15338000.0,34442000.0,-17.3,12.3
Q4 FY25,APAC,17752000.0,15793000.0,18638000.0,16934000.0,58170000.0,-11.0,-4.6
Q4 FY25,LATAM,19820000.0,17485000.0,21679000.0,18149000.0,69869000.0,-11.8,-8.4
Q1 FY26,AMER - West,24892000.0,22842000.0,29293000.0,20635000.0,79467000.0,-8.2,-17.1
Q1 FY26,AMER - East,12447000.0,10759000.0,13323000.0,10092000.0,42317000.0,-13.6,-18.9
Q1 FY26,AMER - Central,19421000.0,19523000.0,23856000.0,21339000.0,83348000.0,0.5,9.9
Q1 FY26,EMEA,8391000.0,7129000.0,9990000.0,7299000.0,23950000.0,-15.0,-13.0
Q1 FY26,APAC,9104000.0,8663000.0,9643000.0,7395000.0,24133000.0,-4.8,-18.8
Q1 FY26,LATAM,20293000.0,20078000.0,22024000.0,22653000.0,53589000.0,-1.1,11.6
Q2 FY26,AMER - West,17907000.0,18661000.0,22245000.0,18148000.0,56618000.0,4.2,1.3
Q2 FY26,AMER - East,19304000.0,18549000.0,19575000.0,16048000.0,83702000.0,-3.9,-16.9
Q2 FY26,AMER - Central,23752000.0,20490000.0,28017000.0,19331000.0,79948000.0,-13.7,-18.6
Q2 FY26,EMEA,19655000.0,17067000.0,23178000.0,18145000.0,73724000.0,-13.2,-7.7
Q2 FY26,APAC,11275000.0,11366000.0,13271000.0,10861000.0,44114000.0,0.8,-3.7
Q2 FY26,LATAM,15977000.0,15789000.0,18341000.0,17551000.0,54083000.0,-1.2,9.9
Q3 FY26,AMER - West,16629000.0,13940000.0,20679000.0,14590000.0,70779000.0,-16.2,-12.3
Q3 FY26,AMER - East,17782000.0,15356000.0,18333000.0,18881000.0,51148000.0,-13.6,6.2
Q3 FY26,AMER - Central,22426000.0,22290000.0,23703000.0,20767000.0,93563000.0,-0.6,-7.4
Q3 FY26,EMEA,13044000.0,11933000.0,15133000.0,11228000.0,39157000.0,-8.5,-13.9
Q3 FY26,APAC,13861000.0,12134000.0,13885000.0,15379000.0,53601000.0,-12.5,11.0
Q3 FY26,LATAM,12785000.0,10958000.0,12982000.0,12309000.0,55044000.0,-14.3,-3.7
Q4 FY26,AMER - West,9027000.0,8971000.0,9998000.0,9292000.0,38792000.0,-0.6,2.9
Q4 FY26,AMER - East,15581000.0,16278000.0,18208000.0,13989000.0,62990000.0,4.5,-10.2
Q4 FY26,AMER - Central,23546000.0,23088000.0,27110000.0,26723000.0,85670000.0,-1.9,13.5
Q4 FY26,EMEA,20362000.0,18191000.0,22185000.0,21992000.0,65991000.0,-10.7,8.0
Q4 FY26,APAC,13104000.0,12219000.0,14892000.0,13833000.0,38738000.0,-6.8,5.6
Q4 FY26,LATAM,10899000.0,10669000.0,12015000.0,12050000.0,34318000.0,-2.1,10.6
