Cohort,Segment,Starting_ARR,Expansion_ARR,Contraction_ARR,Churned_ARR,Ending_ARR,NRR_Pct,GRR_Pct
FY23-Q1,SMB,3327000.0,748000.0,209000.0,315000.0,3551000.0,106.7,90.5
FY23-Q1,Mid-Market,9275000.0,2131000.0,320000.0,917000.0,10169000.0,109.6,90.1
FY23-Q1,Enterprise,2549000.0,362000.0,170000.0,229000.0,2512000.0,98.5,91.0
FY23-Q1,Strategic,5465000.0,886000.0,113000.0,213000.0,6025000.0,110.2,96.1
FY23-Q2,SMB,15803000.0,3732000.0,1203000.0,966000.0,17366000.0,109.9,93.9
FY23-Q2,Mid-Market,10033000.0,1732000.0,620000.0,574000.0,10571000.0,105.4,94.3
FY23-Q2,Enterprise,16800000.0,3540000.0,385000.0,1193000.0,18762000.0,111.7,92.9
FY23-Q2,Strategic,13171000.0,2347000.0,976000.0,666000.0,13876000.0,105.4,94.9
FY23-Q3,SMB,4604000.0,636000.0,184000.0,173000.0,4883000.0,106.1,96.2
FY23-Q3,Mid-Market,4477000.0,1108000.0,143000.0,287000.0,5155000.0,115.1,93.6
FY23-Q3,Enterprise,2091000.0,492000.0,143000.0,195000.0,2245000.0,107.4,90.7
FY23-Q3,Strategic,14359000.0,1275000.0,445000.0,773000.0,14416000.0,100.4,94.6
FY23-Q4,SMB,12929000.0,3221000.0,436000.0,790000.0,14924000.0,115.4,93.9
FY23-Q4,Mid-Market,13212000.0,3466000.0,345000.0,525000.0,15808000.0,119.6,96.0
FY23-Q4,Enterprise,13846000.0,3729000.0,744000.0,840000.0,15991000.0,115.5,93.9
FY23-Q4,Strategic,7867000.0,1729000.0,167000.0,525000.0,8904000.0,113.2,93.3
FY24-Q1,SMB,13101000.0,2711000.0,346000.0,827000.0,14639000.0,111.7,93.7
FY24-Q1,Mid-Market,6462000.0,1237000.0,293000.0,223000.0,7183000.0,111.2,96.5
FY24-Q1,Enterprise,6204000.0,1673000.0,257000.0,360000.0,7260000.0,117.0,94.2
FY24-Q1,Strategic,16708000.0,4366000.0,1212000.0,643000.0,19219000.0,115.0,96.2
FY24-Q2,SMB,4592000.0,891000.0,275000.0,281000.0,4927000.0,107.3,93.9
FY24-Q2,Mid-Market,17944000.0,2775000.0,642000.0,622000.0,19455000.0,108.4,96.5
FY24-Q2,Enterprise,14640000.0,1714000.0,656000.0,1013000.0,14685000.0,100.3,93.1
FY24-Q2,Strategic,5716000.0,626000.0,160000.0,452000.0,5730000.0,100.2,92.1
FY24-Q3,SMB,2179000.0,200000.0,147000.0,83000.0,2149000.0,98.6,96.2
FY24-Q3,Mid-Market,12655000.0,2494000.0,260000.0,1160000.0,13729000.0,108.5,90.8
FY24-Q3,Enterprise,4193000.0,1108000.0,300000.0,361000.0,4640000.0,110.7,91.4
FY24-Q3,Strategic,5019000.0,878000.0,245000.0,185000.0,5467000.0,108.9,96.3
FY24-Q4,SMB,8206000.0,1696000.0,431000.0,708000.0,8763000.0,106.8,91.4
FY24-Q4,Mid-Market,4338000.0,457000.0,219000.0,392000.0,4184000.0,96.4,91.0
FY24-Q4,Enterprise,3088000.0,564000.0,245000.0,215000.0,3192000.0,103.4,93.0
FY24-Q4,Strategic,5953000.0,1373000.0,419000.0,329000.0,6578000.0,110.5,94.5
FY25-Q1,SMB,5605000.0,743000.0,132000.0,338000.0,5878000.0,104.9,94.0
FY25-Q1,Mid-Market,15931000.0,3762000.0,345000.0,1227000.0,18121000.0,113.7,92.3
FY25-Q1,Enterprise,16892000.0,2672000.0,952000.0,1532000.0,17080000.0,101.1,90.9
FY25-Q1,Strategic,13978000.0,1474000.0,795000.0,1193000.0,13464000.0,96.3,91.5
FY25-Q2,SMB,16220000.0,3393000.0,1060000.0,665000.0,17888000.0,110.3,95.9
FY25-Q2,Mid-Market,11584000.0,1593000.0,769000.0,698000.0,11710000.0,101.1,94.0
FY25-Q2,Enterprise,2495000.0,233000.0,63000.0,231000.0,2434000.0,97.6,90.7
FY25-Q2,Strategic,4329000.0,902000.0,183000.0,249000.0,4799000.0,110.9,94.2
