Quarter,Segment,Revenue_Target,Revenue_Actual,Attainment_Pct,YoY_Growth_Pct,Pipeline_Coverage,Win_Rate_Pct,Avg_Deal_ACV,NRR_Pct,Gross_Churn_Pct,New_Logos
Q1 FY25,SMB,12000000.0,10264000.0,85.5,-21.5,2.9,31.9,29800.0,125.5,8.4,41
Q1 FY25,Mid-Market,28000000.0,31351000.0,112.0,17.5,4.16,19.0,124100.0,112.3,6.7,19
Q1 FY25,Enterprise,45000000.0,51162000.0,113.7,12.2,2.95,16.6,510600.0,112.1,7.8,8
Q1 FY25,Strategic,65000000.0,51876000.0,79.8,-12.7,4.6,12.5,1923100.0,113.8,9.4,29
Q2 FY25,SMB,12000000.0,14085000.0,117.4,7.1,4.45,27.4,29800.0,124.8,4.3,17
Q2 FY25,Mid-Market,28000000.0,28546000.0,102.0,3.3,3.32,25.8,124100.0,121.6,8.3,27
Q2 FY25,Enterprise,45000000.0,38788000.0,86.2,-19.0,4.27,17.0,510600.0,121.8,6.5,34
Q2 FY25,Strategic,65000000.0,60505000.0,93.1,-11.6,3.18,15.7,1923100.0,113.1,4.1,33
Q3 FY25,SMB,12000000.0,9561000.0,79.7,-22.7,3.06,30.6,29800.0,109.4,4.7,18
Q3 FY25,Mid-Market,28000000.0,31945000.0,114.1,20.5,3.17,21.2,124100.0,126.9,5.5,33
Q3 FY25,Enterprise,45000000.0,40227000.0,89.4,0.9,4.51,16.9,510600.0,123.2,6.4,20
Q3 FY25,Strategic,65000000.0,75405000.0,116.0,20.0,3.8,12.5,1923100.0,127.9,6.8,14
Q4 FY25,SMB,12000000.0,9895000.0,82.5,1.6,3.58,24.6,29800.0,121.9,4.4,35
Q4 FY25,Mid-Market,28000000.0,28732000.0,102.6,10.2,3.09,23.3,124100.0,108.8,9.6,20
Q4 FY25,Enterprise,45000000.0,48934000.0,108.7,6.9,2.89,15.4,510600.0,111.1,9.2,24
Q4 FY25,Strategic,65000000.0,74668000.0,114.9,26.9,3.2,15.1,1923100.0,115.8,4.9,26
Q1 FY26,SMB,12000000.0,11787000.0,98.2,13.2,4.05,27.1,29800.0,122.4,4.2,36
Q1 FY26,Mid-Market,28000000.0,22617000.0,80.8,-7.6,3.86,23.0,124100.0,110.9,9.8,11
Q1 FY26,Enterprise,45000000.0,37105000.0,82.5,0.6,3.84,15.4,510600.0,122.4,8.3,28
Q1 FY26,Strategic,65000000.0,60330000.0,92.8,10.1,3.01,13.0,1923100.0,115.6,7.4,32
Q2 FY26,SMB,12000000.0,13050000.0,108.7,30.1,3.25,30.0,29800.0,119.3,4.4,38
Q2 FY26,Mid-Market,28000000.0,32337000.0,115.5,16.3,3.36,23.4,124100.0,117.0,8.5,39
Q2 FY26,Enterprise,45000000.0,46127000.0,102.5,13.4,4.78,18.2,510600.0,126.4,4.9,42
Q2 FY26,Strategic,65000000.0,73566000.0,113.2,30.5,3.37,15.5,1923100.0,127.3,6.3,24
Q3 FY26,SMB,12000000.0,13593000.0,113.3,24.4,2.84,31.7,29800.0,110.9,6.8,42
Q3 FY26,Mid-Market,28000000.0,31379000.0,112.1,2.2,3.05,23.5,124100.0,112.2,6.4,34
Q3 FY26,Enterprise,45000000.0,43390000.0,96.4,3.0,4.7,18.2,510600.0,114.8,8.0,16
Q3 FY26,Strategic,65000000.0,69506000.0,106.9,24.1,3.23,12.8,1923100.0,111.9,9.2,31
Q4 FY26,SMB,12000000.0,13682000.0,114.0,18.2,4.33,27.8,29800.0,120.9,5.3,17
Q4 FY26,Mid-Market,28000000.0,27107000.0,96.8,0.5,3.7,25.7,124100.0,127.1,9.2,34
Q4 FY26,Enterprise,45000000.0,36016000.0,80.0,-7.5,3.9,16.3,510600.0,115.7,7.1,19
Q4 FY26,Strategic,65000000.0,75223000.0,115.7,43.4,3.21,14.7,1923100.0,111.4,9.9,44
