Rep_ID,Region,Segment,Annual_Quota,YTD_Actual,Attainment_Pct,Deals_Won,Deals_Lost,Win_Rate_Pct,Avg_Sales_Cycle,AI_Deals_Won,Ramp_Status
AE-001,EMEA,Strategic,3198000.0,2947000.0,92.2,8,7,53.3,143,6,New
AE-002,AMER - East,Enterprise,2077000.0,2588000.0,124.6,8,15,34.8,138,0,Ramped
AE-003,LATAM,Mid-Market,1547000.0,2022000.0,130.7,10,6,62.5,49,6,Ramped
AE-004,AMER - Central,Enterprise,1655000.0,1569000.0,94.8,9,12,42.9,116,3,Ramped
AE-005,APAC,Strategic,2196000.0,2872000.0,130.8,9,18,33.3,60,5,New
AE-006,AMER - West,Enterprise,2824000.0,2926000.0,103.6,8,10,44.4,177,7,Ramping
AE-007,EMEA,Strategic,1230000.0,980000.0,79.6,9,13,40.9,124,6,Ramped
AE-008,APAC,Mid-Market,2418000.0,1990000.0,82.3,15,7,68.2,139,7,Ramped
AE-009,EMEA,Enterprise,2159000.0,1549000.0,71.8,14,10,58.3,125,7,Ramping
AE-010,APAC,Enterprise,2528000.0,2060000.0,81.5,10,7,58.8,127,3,Ramping
AE-011,APAC,Mid-Market,3071000.0,2301000.0,74.9,22,18,55.0,49,5,Ramped
AE-012,AMER - West,Strategic,2925000.0,3068000.0,104.9,6,18,25.0,163,4,Ramped
AE-013,EMEA,Mid-Market,3020000.0,2328000.0,77.1,8,14,36.4,60,7,Ramped
AE-014,LATAM,SMB,1953000.0,2363000.0,121.0,19,7,73.1,114,5,Ramped
AE-015,AMER - Central,Mid-Market,3096000.0,3302000.0,106.7,7,12,36.8,60,3,Ramped
AE-016,APAC,Enterprise,1771000.0,1507000.0,85.1,4,12,25.0,111,3,Ramped
AE-017,AMER - West,SMB,2699000.0,3131000.0,116.0,6,14,30.0,164,2,Ramped
AE-018,EMEA,Mid-Market,2566000.0,2968000.0,115.7,7,11,38.9,161,4,Ramped
AE-019,APAC,Strategic,1855000.0,1891000.0,101.9,14,3,82.4,76,0,Ramping
AE-020,APAC,Strategic,2048000.0,1643000.0,80.2,16,3,84.2,156,5,Ramped
AE-021,AMER - Central,SMB,2680000.0,2169000.0,80.9,22,4,84.6,175,0,Ramping
AE-022,LATAM,Mid-Market,2342000.0,3025000.0,129.2,8,7,53.3,71,8,Ramped
AE-023,LATAM,Mid-Market,1411000.0,1183000.0,83.8,15,13,53.6,65,6,Ramped
AE-024,AMER - West,Strategic,2121000.0,1272000.0,60.0,17,15,53.1,84,8,Ramping
AE-025,AMER - East,Strategic,1566000.0,1817000.0,116.0,12,10,54.5,106,0,Ramped
AE-026,APAC,SMB,1321000.0,1617000.0,122.4,11,18,37.9,55,0,Ramped
AE-027,AMER - East,Mid-Market,3395000.0,2241000.0,66.0,14,13,51.9,144,6,Ramped
AE-028,AMER - Central,Strategic,1254000.0,1407000.0,112.2,17,5,77.3,55,3,Ramped
AE-029,AMER - East,Mid-Market,2540000.0,1412000.0,55.6,6,14,30.0,175,2,Ramped
AE-030,AMER - East,SMB,3305000.0,3786000.0,114.5,13,11,54.2,140,8,Ramped
AE-031,AMER - East,Enterprise,1969000.0,1598000.0,81.2,12,15,44.4,75,4,Ramped
AE-032,EMEA,Strategic,1671000.0,1070000.0,64.0,16,6,72.7,97,3,Ramping
AE-033,LATAM,Enterprise,3116000.0,3394000.0,108.9,22,12,64.7,137,7,Ramped
AE-034,LATAM,Mid-Market,2504000.0,3149000.0,125.8,12,9,57.1,175,0,Ramped
AE-035,AMER - East,Mid-Market,3179000.0,2273000.0,71.5,16,13,55.2,162,6,Ramped
AE-036,AMER - East,Strategic,2304000.0,2367000.0,102.7,11,5,68.8,72,0,Ramping
AE-037,APAC,SMB,3171000.0,4146000.0,130.7,4,12,25.0,158,6,Ramping
AE-038,AMER - East,SMB,1323000.0,956000.0,72.2,10,16,38.5,140,1,Ramped
AE-039,LATAM,SMB,1884000.0,1089000.0,57.8,7,12,36.8,81,4,Ramped
AE-040,AMER - East,SMB,3315000.0,3797000.0,114.5,4,18,18.2,89,0,Ramped
AE-041,LATAM,Mid-Market,2247000.0,2829000.0,125.9,21,11,65.6,114,0,Ramping
AE-042,EMEA,SMB,2882000.0,1939000.0,67.3,6,15,28.6,141,0,Ramped
AE-043,EMEA,Strategic,2149000.0,2855000.0,132.8,22,4,84.6,61,4,Ramping
AE-044,LATAM,Strategic,1666000.0,1273000.0,76.4,12,9,57.1,105,7,Ramping
AE-045,LATAM,SMB,3209000.0,3910000.0,121.8,17,18,48.6,104,0,Ramped
AE-046,AMER - West,Enterprise,2249000.0,2087000.0,92.8,9,14,39.1,140,8,Ramped
AE-047,AMER - Central,Enterprise,2136000.0,2166000.0,101.4,15,17,46.9,133,4,Ramped
AE-048,LATAM,Strategic,2754000.0,2413000.0,87.6,17,5,77.3,109,2,Ramped
AE-049,AMER - Central,Strategic,2237000.0,2195000.0,98.1,9,4,69.2,132,8,New
AE-050,LATAM,Mid-Market,2577000.0,2531000.0,98.2,9,7,56.2,97,6,Ramped
AE-051,EMEA,SMB,3478000.0,3427000.0,98.5,20,6,76.9,46,4,New
AE-052,LATAM,Mid-Market,2901000.0,3183000.0,109.7,14,18,43.8,74,5,Ramping
AE-053,AMER - Central,Strategic,2403000.0,2897000.0,120.5,11,14,44.0,149,1,Ramped
AE-054,LATAM,Strategic,1558000.0,1722000.0,110.5,10,3,76.9,174,1,Ramped
