Territory,Region,Assigned_Reps,Open_Headcount,Total_Accounts,Covered_Accounts,Coverage_Rate_Pct,Pipeline_in_Territory,Quota_in_Territory,Pipeline_Coverage_Ratio,Coverage_Gap_Flag
AMER - West - T01,AMER - West,4,2,254,171,67.3,7121000.0,4617000.0,1.54,Gap
AMER - West - T02,AMER - West,3,1,341,254,74.5,9453000.0,8716000.0,1.08,Gap
AMER - West - T03,AMER - West,2,1,252,148,58.7,6642000.0,4739000.0,1.4,Gap
AMER - West - T04,AMER - West,1,1,217,200,92.2,10685000.0,6755000.0,1.58,Gap
AMER - West - T05,AMER - West,2,1,245,224,91.4,7443000.0,4788000.0,1.55,Gap
AMER - West - T06,AMER - West,3,0,251,190,75.7,5821000.0,4111000.0,1.42,Gap
AMER - West - T07,AMER - West,4,2,176,151,85.8,10851000.0,3114000.0,3.48,On Track
AMER - West - T08,AMER - West,3,0,265,221,83.4,7305000.0,3636000.0,2.01,Gap
AMER - East - T01,AMER - East,4,2,346,214,61.8,9108000.0,9009000.0,1.01,Gap
AMER - East - T02,AMER - East,2,0,386,334,86.5,10219000.0,3465000.0,2.95,Gap
AMER - East - T03,AMER - East,4,1,205,145,70.7,9029000.0,9460000.0,0.95,Gap
AMER - East - T04,AMER - East,4,2,254,155,61.0,7863000.0,4020000.0,1.96,Gap
AMER - East - T05,AMER - East,4,2,281,155,55.2,3484000.0,9473000.0,0.37,Gap
AMER - East - T06,AMER - East,4,1,361,283,78.4,4409000.0,6540000.0,0.67,Gap
AMER - East - T07,AMER - East,2,1,106,100,94.3,8095000.0,5916000.0,1.37,Gap
AMER - East - T08,AMER - East,1,1,303,214,70.6,2754000.0,3449000.0,0.8,Gap
AMER - Central - T01,AMER - Central,3,0,101,90,89.1,4412000.0,6388000.0,0.69,Gap
AMER - Central - T02,AMER - Central,3,0,129,119,92.2,8711000.0,3639000.0,2.39,Gap
AMER - Central - T03,AMER - Central,1,0,137,94,68.6,8056000.0,4217000.0,1.91,Gap
AMER - Central - T04,AMER - Central,4,0,198,126,63.6,7838000.0,8014000.0,0.98,Gap
AMER - Central - T05,AMER - Central,3,0,157,88,56.1,7633000.0,8099000.0,0.94,Gap
AMER - Central - T06,AMER - Central,2,1,184,141,76.6,1683000.0,3283000.0,0.51,Gap
AMER - Central - T07,AMER - Central,3,1,143,84,58.7,10377000.0,3768000.0,2.75,Gap
AMER - Central - T08,AMER - Central,4,2,164,149,90.9,11135000.0,4236000.0,2.63,Gap
EMEA - T01,EMEA,1,0,237,172,72.6,10539000.0,8797000.0,1.2,Gap
EMEA - T02,EMEA,4,0,198,117,59.1,2361000.0,7699000.0,0.31,Gap
EMEA - T03,EMEA,4,0,276,246,89.1,9382000.0,2184000.0,4.3,On Track
EMEA - T04,EMEA,3,0,331,240,72.5,10689000.0,4738000.0,2.26,Gap
EMEA - T05,EMEA,1,1,339,270,79.6,10301000.0,6852000.0,1.5,Gap
EMEA - T06,EMEA,3,0,119,94,79.0,8839000.0,5021000.0,1.76,Gap
EMEA - T07,EMEA,4,0,191,129,67.5,5754000.0,3990000.0,1.44,Gap
EMEA - T08,EMEA,3,0,274,217,79.2,6432000.0,2194000.0,2.93,Gap
APAC - T01,APAC,2,2,113,83,73.5,9901000.0,5111000.0,1.94,Gap
APAC - T02,APAC,3,1,275,154,56.0,6081000.0,5563000.0,1.09,Gap
APAC - T03,APAC,4,0,303,198,65.3,3900000.0,4933000.0,0.79,Gap
APAC - T04,APAC,3,1,160,99,61.9,10463000.0,7160000.0,1.46,Gap
APAC - T05,APAC,2,0,275,191,69.5,9487000.0,2720000.0,3.49,On Track
APAC - T06,APAC,2,0,395,327,82.8,2026000.0,2634000.0,0.77,Gap
APAC - T07,APAC,3,1,156,104,66.7,10514000.0,4228000.0,2.49,Gap
APAC - T08,APAC,2,0,289,195,67.5,6965000.0,3855000.0,1.81,Gap
LATAM - T01,LATAM,1,2,106,83,78.3,9723000.0,8975000.0,1.08,Gap
LATAM - T02,LATAM,2,1,360,266,73.9,5944000.0,3343000.0,1.78,Gap
LATAM - T03,LATAM,1,0,388,324,83.5,2208000.0,2812000.0,0.79,Gap
LATAM - T04,LATAM,2,2,143,123,86.0,7311000.0,4951000.0,1.48,Gap
LATAM - T05,LATAM,2,0,353,326,92.4,4079000.0,2070000.0,1.97,Gap
LATAM - T06,LATAM,2,1,342,299,87.4,6760000.0,9159000.0,0.74,Gap
LATAM - T07,LATAM,4,0,165,94,57.0,3137000.0,3058000.0,1.03,Gap
LATAM - T08,LATAM,3,2,222,163,73.4,6277000.0,7682000.0,0.82,Gap
